Movie_ID,IMDB_Score,RT_Score,MetaC_Score,Ebert_Score,Drama,Comedy,Romance,SciFi,Crime,Mystery,Action,Adventure,Horror,Thriller,Music,Documentary,Fantasy,Biography,Short,Western,History,War,Family,Animation,Sport
84,0.74,0.91,0.92,4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
203,0.75,0.59,0.56,4.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
179,0.54,0.45,0.46,2.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0.75,0.86,0.72,2.5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0.66,0.94,0.82,3.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0.79,0.94,0.82,2.5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
204,0.68,0.57,0.6,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0.71,0.96,0.79,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.69,0.67,0.57,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
118,0.64,0.9,0.75,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0.62,0.42,0.39,1.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
132,0.81,1.0,0.77,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0.74,0.95,0.83,3.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
156,0.67,0.73,0.55,1.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
222,0.65,0.73,0.51,2.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
23,0.87,0.95,0.92,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0.7,0.92,0.8,4.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0.77,0.97,0.82,3.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151,0.69,0.7,0.56,2.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
162,0.74,0.83,0.64,3.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0.75,0.93,0.81,2.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,0.63,0.41,0.3,2.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
89,0.74,0.98,0.99,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,0.65,0.45,0.49,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0.73,0.72,0.52,2.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0.69,0.93,0.8,3.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
133,0.72,0.98,0.83,3.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0.7,0.92,0.78,3.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
196,0.75,0.63,0.59,3.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
93,0.62,0.87,0.77,4.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,0.63,0.84,0.74,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
