Title,Year,Director,Josh Larsen,Nick Davis,Link,jamie loftus,risesinthewest,crhoesing,Aria,n23haynes,Adam Kempenaar,Maia,ratbathman,Mitra Jouhari,Caitlin Durante,victoire13,Monika Kothari
Portrait of a Lady on Fire,2019,Céline Sciamma,4.5,4.5,https://letterboxd.com//film/portrait-of-a-lady-on-fire/,,3.5,5.0,,,4.5,,,,,,
Before Sunrise,1995,Richard Linklater,5.0,,https://letterboxd.com//film/before-sunrise/,,4.5,,,,5.0,,,5.0,5.0,,
Bottoms,2023,Emma Seligman,3.5,3.0,https://letterboxd.com//film/bottoms/,,,3.0,,4.5,2.5,,,5.0,,3.5,
The Power of One: The Pokémon 2000 Movie Special,2000,Richard Brian DiPirro,,,https://letterboxd.com//film/the-power-of-one-the-pokemon-2000-movie-special/,,,,,,,,,,,,
Oppenheimer,2023,Christopher Nolan,3.5,4.5,https://letterboxd.com//film/oppenheimer-2023/,,4.5,4.0,,3.0,4.5,,,5.0,,4.0,
The Last Unicorn,1982,"Arthur Rankin, Jr., Jules Bass",,,https://letterboxd.com//film/the-last-unicorn/,,,,,,,,,,,2.5,
Talk to Me,2022,"Michael Philippou, Danny Philippou",3.5,2.0,https://letterboxd.com//film/talk-to-me-2022/,,3.0,,,3.5,,,,,,,
Joy Ride,2023,Adele Lim,,,https://letterboxd.com//film/joy-ride-2023/,,,,,,,,,,,,
Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti, Peter Ramsey, …",4.0,3.5,https://letterboxd.com//film/spider-man-into-the-spider-verse/,,4.0,,4.5,,3.0,,,,5.0,,
Princess Mononoke,1997,Hayao Miyazaki,5.0,5.0,https://letterboxd.com//film/princess-mononoke/,,,5.0,4.5,,4.0,,,5.0,,,
Adaptation.,2002,Spike Jonze,,,https://letterboxd.com//film/adaptation/,,,,,4.5,4.0,,,5.0,,,
Sorry to Bother You,2018,Boots Riley,4.0,3.5,https://letterboxd.com//film/sorry-to-bother-you/,,,,4.0,,3.5,,,,,,
Past Lives,2023,Celine Song,4.0,3.0,https://letterboxd.com//film/past-lives/,3.5,5.0,4.5,,3.5,4.0,3.5,,,,3.5,4.5
Past Lives,2023,Celine Song,4.0,3.0,https://letterboxd.com//film/all-the-beauty-and-the-bloodshed/,3.5,5.0,4.5,,3.5,4.0,3.5,,,,3.5,4.5
You Hurt My Feelings,2023,Nicole Holofcener,4.0,3.0,https://letterboxd.com//film/you-hurt-my-feelings-2023/,,,,,,4.0,,,,,,
Twilight,2008,Catherine Hardwicke,,2.0,https://letterboxd.com//film/twilight-2008/,,,,,,,,,,,3.0,
The Lighthouse,2019,Robert Eggers,4.0,,https://letterboxd.com//film/the-lighthouse-2019/,,4.0,3.5,5.0,2.0,2.5,,,,4.0,,
Crazy Rich Asians,2018,Jon M. Chu,3.0,,https://letterboxd.com//film/crazy-rich-asians/,,,,,,3.5,,,,,4.0,
Bean,1997,Mel Smith,,,https://letterboxd.com//film/bean/,,,,,,,,,,,,
Tank Girl,1995,Rachel Talalay,,,https://letterboxd.com//film/tank-girl/,3.0,,,,,,,,,,,
Pride & Prejudice,2005,Joe Wright,,,https://letterboxd.com//film/pride-prejudice/,,,,3.0,,,,,,,5.0,
Inspector Ike,2020,Graham Mason,,,https://letterboxd.com//film/inspector-ike/,,,,,,,,,,,,
M3GAN,2022,Gerard Johnstone,,,https://letterboxd.com//film/m3gan/,,,,,,,,,,,,
Rampant,2018,Kim Sung-hoon,,,https://letterboxd.com//film/rampant/,,,,,,,,,,,,
Decision to Leave,2022,Park Chan-wook,4.0,3.5,https://letterboxd.com//film/decision-to-leave/,,,,,3.0,4.5,,,,,,
You Were Never Really Here,2017,Lynne Ramsay,3.0,,https://letterboxd.com//film/you-were-never-really-here/,,,,2.5,,3.5,,,,,,
TÁR,2022,Todd Field,4.0,4.5,https://letterboxd.com//film/tar-2022/,,,,,,4.5,5.0,,,,3.0,
Reign of Fire,2002,Rob Bowman,,,https://letterboxd.com//film/reign-of-fire/,,,,,,,,,,,,
Idle Hands,1999,Rodman Flender,,,https://letterboxd.com//film/idle-hands/,,,,,,,,,,,,
Tommy Boy,1995,Peter Segal,,,https://letterboxd.com//film/tommy-boy/,,,,,,,,,,,4.0,
Three Thousand Years of Longing,2022,George Miller,3.0,1.5,https://letterboxd.com//film/three-thousand-years-of-longing/,,,,,,3.5,,,,,,
No Time to Die,2021,Cary Joji Fukunaga,3.0,2.0,https://letterboxd.com//film/no-time-to-die-2021/,,,,,,3.0,,,,,,
Brian and Charles,2022,Jim Archer,,,https://letterboxd.com//film/brian-and-charles-2022/,,,,,,,,,,,,
Tenet,2020,Christopher Nolan,2.5,,https://letterboxd.com//film/tenet/,,3.0,,3.0,,2.5,,,,,,
Shang-Chi and the Legend of the Ten Rings,2021,Destin Daniel Cretton,4.0,2.5,https://letterboxd.com//film/shang-chi-and-the-legend-of-the-ten-rings/,,,3.0,,,3.0,,,,,,
Dune,2021,Denis Villeneuve,3.5,3.5,https://letterboxd.com//film/dune-2021/,,4.0,4.5,2.5,4.0,2.5,,4.5,,,4.5,
Don’t Look Up,2021,Adam McKay,2.0,3.5,https://letterboxd.com//film/dont-look-up-2021/,,,,3.0,1.0,2.5,,,,,3.5,
Dinner in America,2020,Adam Rehmeier,,,https://letterboxd.com//film/dinner-in-america/,,,,,,,,,,,,
Dredd,2012,Pete Travis,,,https://letterboxd.com//film/dredd/,,,,,,,,,,,,
The Banshees of Inisherin,2022,Martin McDonagh,4.0,2.5,https://letterboxd.com//film/the-banshees-of-inisherin/,,4.5,,5.0,,4.5,4.5,,,,4.5,
Sister Act,1992,Emile Ardolino,,,https://letterboxd.com//film/sister-act/,,,,,,,,3.5,,,,
Kimi,2022,Steven Soderbergh,3.0,1.5,https://letterboxd.com//film/kimi/,,,,,,3.5,,,,,,
Elf,2003,Jon Favreau,3.0,,https://letterboxd.com//film/elf/,,,,2.0,,,,,,,5.0,
Thoroughbreds,2017,Cory Finley,2.5,,https://letterboxd.com//film/thoroughbreds-2017/,,,,,,,,,,,,
Azor,2021,Andreas Fontana,,,https://letterboxd.com//film/azor/,,,,,,,,,,,,
Short Term 12,2013,Destin Daniel Cretton,3.0,,https://letterboxd.com//film/short-term-12-2013/,,,,,,4.0,,,,,,
Parasite,2019,Bong Joon Ho,4.5,5.0,https://letterboxd.com//film/parasite-2019/,,4.0,4.5,5.0,,4.5,,,,5.0,5.0,
Short Circuit,1986,John Badham,,,https://letterboxd.com//film/short-circuit/,,,,,,,,,,,,
Licorice Pizza,2021,Paul Thomas Anderson,4.0,4.0,https://letterboxd.com//film/licorice-pizza/,,,,,,4.0,,,,,,
Moonlight,2016,Barry Jenkins,4.0,,https://letterboxd.com//film/moonlight-2016/,,5.0,4.5,5.0,,4.0,,,5.0,,4.5,
The Lost Boys,1987,Joel Schumacher,,,https://letterboxd.com//film/the-lost-boys/,,,,,,,,,,,,
Sex Drive,2008,Sean Anders,,,https://letterboxd.com//film/sex-drive/,,,,,,,,,,,,
Legend,1985,Ridley Scott,,,https://letterboxd.com//film/legend/,,,,,,,,,,,,
Demolition Man,1993,Marco Brambilla,,,https://letterboxd.com//film/demolition-man/,,,,,,,,,,,,
