Title,Year,Director,Rating,Watch Date,LB_Film_Link
Azor,2021,Andreas Fontana,0.0,2022-11-13,https://letterboxd.com//film/azor/
Short Term 12,2013,Destin Daniel Cretton,2.5,2022-11-07,https://letterboxd.com//film/short-term-12-2013/
Parasite,2019,Bong Joon Ho,3.5,2022-11-05,https://letterboxd.com//film/parasite-2019/
Short Circuit,1986,John Badham,0.0,2022-11-04,https://letterboxd.com//film/short-circuit/
Licorice Pizza,2021,Paul Thomas Anderson,0.0,2022-11-02,https://letterboxd.com//film/licorice-pizza/
Moonlight,2016,Barry Jenkins,4.0,2022-10-30,https://letterboxd.com//film/moonlight-2016/
The Lost Boys,1987,Joel Schumacher,0.0,2022-10-28,https://letterboxd.com//film/the-lost-boys/
Sex Drive,2008,Sean Anders,0.0,2022-10-07,https://letterboxd.com//film/sex-drive/
Legend,1985,Ridley Scott,0.0,2022-09-16,https://letterboxd.com//film/legend/
Demolition Man,1993,Marco Brambilla,2.5,2022-09-09,https://letterboxd.com//film/demolition-man/
Pokémon: The First Movie,1998,Kunihiko Yuyama,0.0,2022-08-26,https://letterboxd.com//film/pokemon-the-first-movie/
Emily the Criminal,2022,John Patton Ford,3.5,2022-08-24,https://letterboxd.com//film/emily-the-criminal/
Bodies Bodies Bodies,2022,Halina Reijn,0.0,2022-08-22,https://letterboxd.com//film/bodies-bodies-bodies/
Black Swan,2010,Darren Aronofsky,2.5,2022-08-19,https://letterboxd.com//film/black-swan/
Bedazzled,2000,Harold Ramis,0.0,2022-08-13,https://letterboxd.com//film/bedazzled-2000/
Johnny Mnemonic,1995,Robert Longo,0.0,2022-07-30,https://letterboxd.com//film/johnny-mnemonic/
Labyrinth,1986,Jim Henson,0.0,2022-07-22,https://letterboxd.com//film/labyrinth/
Stardust,2007,Matthew Vaughn,2.5,2022-07-08,https://letterboxd.com//film/stardust-2007/
Star Trek Beyond,2016,Justin Lin,0.0,2022-07-01,https://letterboxd.com//film/star-trek-beyond/
Star Trek Into Darkness,2013,J.J. Abrams,0.0,2022-06-10,https://letterboxd.com//film/star-trek-into-darkness/
DragonHeart,1996,Rob Cohen,0.0,2022-05-20,https://letterboxd.com//film/dragonheart/
Troll 2,1990,Claudio Fragasso,0.0,2022-05-13,https://letterboxd.com//film/troll-2/
Star Trek,2009,J.J. Abrams,2.5,2022-04-30,https://letterboxd.com//film/star-trek/
The Mighty Ducks,1992,Stephen Herek,0.0,2022-04-25,https://letterboxd.com//film/the-mighty-ducks/
Harold & Kumar Go to White Castle,2004,Danny Leiner,2.5,2022-04-15,https://letterboxd.com//film/harold-kumar-go-to-white-castle/
Life As A House,2001,Irwin Winkler,0.0,2022-04-02,https://letterboxd.com//film/life-as-a-house/
Kindergarten Cop,1990,Ivan Reitman,0.0,2022-03-29,https://letterboxd.com//film/kindergarten-cop/
Harry and the Hendersons,1987,William Dear,0.0,2022-03-29,https://letterboxd.com//film/harry-and-the-hendersons/
Air Bud,1997,Charles Martin Smith,0.0,2022-03-15,https://letterboxd.com//film/air-bud/
The Importance of Being Earnest,2002,Oliver Parker,0.0,2022-03-12,https://letterboxd.com//film/the-importance-of-being-earnest-2002/
Perfume: The Story of a Murderer,2006,Tom Tykwer,0.0,2022-03-04,https://letterboxd.com//film/perfume-the-story-of-a-murderer/
Braveheart,1995,Mel Gibson,2.5,2022-02-12,https://letterboxd.com//film/braveheart/
Highlander,1986,Russell Mulcahy,0.0,2022-01-29,https://letterboxd.com//film/highlander/
Gone in Sixty Seconds,2000,Dominic Sena,0.0,2022-01-22,https://letterboxd.com//film/gone-in-sixty-seconds/
The Addams Family,1991,Barry Sonnenfeld,0.0,2022-01-01,https://letterboxd.com//film/the-addams-family/
The Santa Clause,1994,John Pasquin,0.0,2021-12-29,https://letterboxd.com//film/the-santa-clause/
Father of the Bride,1991,Charles Shyer,0.0,2021-12-14,https://letterboxd.com//film/father-of-the-bride-1991/
Mortal Kombat,1995,Paul W. S. Anderson,0.0,2021-12-11,https://letterboxd.com//film/mortal-kombat/
Borat Subsequent Moviefilm,2020,Jason Woliner,3.5,2021-12-09,https://letterboxd.com//film/borat-subsequent-moviefilm/
Grosse Pointe Blank,1997,George Armitage,0.0,2021-12-04,https://letterboxd.com//film/grosse-pointe-blank/
Nobody,2021,Ilya Naishuller,0.0,2021-11-21,https://letterboxd.com//film/nobody-2021/
Another Round,2020,Thomas Vinterberg,2.5,2021-11-15,https://letterboxd.com//film/another-round/
Casino Royale,2006,Martin Campbell,2.5,2021-11-08,https://letterboxd.com//film/casino-royale-2006/
Horrible Bosses,2011,Seth Gordon,0.0,2021-11-06,https://letterboxd.com//film/horrible-bosses/
Ghost,1990,Jerry Zucker,0.0,2021-11-01,https://letterboxd.com//film/ghost/
Hellraiser,1987,Clive Barker,2.5,2021-10-29,https://letterboxd.com//film/hellraiser/
Interview with the Vampire,1994,Neil Jordan,0.0,2021-10-22,https://letterboxd.com//film/interview-with-the-vampire/
Back to the Future,1985,Robert Zemeckis,2.5,2021-10-16,https://letterboxd.com//film/back-to-the-future/
Promising Young Woman,2020,Emerald Fennell,3.5,2021-10-15,https://letterboxd.com//film/promising-young-woman/
A Knight’s Tale,2001,Brian Helgeland,0.0,2021-09-11,https://letterboxd.com//film/a-knights-tale/
Scooby-Doo,2002,Raja Gosnell,0.0,2021-08-28,https://letterboxd.com//film/scooby-doo/
The NeverEnding Story,1984,Wolfgang Petersen,0.0,2021-08-20,https://letterboxd.com//film/the-neverending-story/
Slumdog Millionaire,2008,Danny Boyle,2.5,2021-08-06,https://letterboxd.com//film/slumdog-millionaire/
Airplane!,1980,"Jerry Zucker, David Zucker, Jim Abrahams",0.0,2021-07-24,https://letterboxd.com//film/airplane/
X-Men: First Class,2011,Matthew Vaughn,2.5,2021-07-03,https://letterboxd.com//film/x-men-first-class/
Blade Runner 2049,2017,Denis Villeneuve,3.5,2021-06-19,https://letterboxd.com//film/blade-runner-2049/
The Boondock Saints,1999,Troy Duffy,0.0,2021-05-29,https://letterboxd.com//film/the-boondock-saints/
Kiss Kiss Bang Bang,2005,Shane Black,0.0,2021-04-24,https://letterboxd.com//film/kiss-kiss-bang-bang-2005/
Memories,1995,"Katsuhiro Otomo, Koji Morimoto, Tensai Okamura",2.5,2021-04-16,https://letterboxd.com//film/memories/
Sound of Metal,2019,Darius Marder,3.5,2021-03-21,https://letterboxd.com//film/sound-of-metal/
The Man from U.N.C.L.E.,2015,Guy Ritchie,0.0,2021-03-20,https://letterboxd.com//film/the-man-from-uncle/
Possessor,2020,Brandon Cronenberg,2.5,2021-01-10,https://letterboxd.com//film/possessor/
