,Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
60,LOVE HOTEL,1985,Shinji Somai,2025-04-30 20:30:00-05:00,2025-04-30,20:30:00
61,AT THE RISK OF SEEMING RIDICULOUS,1994,Mary Patten,2025-05-01 18:00:00-05:00,2025-05-01,18:00:00
62,LOVE HOTEL,1985,Shinji Somai,2025-05-01 18:15:00-05:00,2025-05-01,18:15:00
63,YOUNG HEARTS,2024,Anthony Schatteman,2025-05-01 20:15:00-05:00,2025-05-01,20:15:00
64,"JANIN, JENIN",2024,Mohammad Bakri,2025-05-01 20:30:00-05:00,2025-05-01,20:30:00
65,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-27 12:00:00-05:00,2025-04-27,12:00:00
66,LOVE HOTEL,1985,Shinji Somai,2025-04-27 12:30:00-05:00,2025-04-27,12:30:00
67,THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-04-27 14:00:00-05:00,2025-04-27,14:00:00
68,LOVE HOTEL,1985,Shinji Somai,2025-04-27 14:30:00-05:00,2025-04-27,14:30:00
69,DOC10 SHORTS PROGRAM,2024,Various directors,2025-04-27 17:00:00-05:00,2025-04-27,17:00:00
70,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-27 17:30:00-05:00,2025-04-27,17:30:00
71,REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,1972,Various directors,2025-04-28 18:00:00-05:00,2025-04-28,18:00:00
72,LOVE HOTEL,1985,Shinji Somai,2025-04-28 18:15:00-05:00,2025-04-28,18:15:00
73,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-28 20:15:00-05:00,2025-04-28,20:15:00
74,LOVE HOTEL,1985,Shinji Somai,2025-04-28 20:30:00-05:00,2025-04-28,20:30:00
75,DOC 10: THE INFILTRATORS,2019,"Cristina Ibarra, Alex Rivera",2025-04-29 18:00:00-05:00,2025-04-29,18:00:00
76,KILLER OF SHEEP,1978,Charles Burnett,2025-04-29 18:15:00-05:00,2025-04-29,18:15:00
77,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-29 20:15:00-05:00,2025-04-29,20:15:00
78,LOVE HOTEL,1985,Shinji Somai,2025-04-29 20:30:00-05:00,2025-04-29,20:30:00
79,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-30 18:00:00-05:00,2025-04-30,18:00:00
80,LOVE HOTEL,1985,Shinji Somai,2025-04-30 18:15:00-05:00,2025-04-30,18:15:00
81,KILLER OF SHEEP,1978,Charles Burnett,2025-04-30 20:15:00-05:00,2025-04-30,20:15:00
82,LOVE HOTEL,1985,Shinji Somai,2025-04-30 20:30:00-05:00,2025-04-30,20:30:00
83,AT THE RISK OF SEEMING RIDICULOUS,1994,Mary Patten,2025-05-01 18:00:00-05:00,2025-05-01,18:00:00
84,LOVE HOTEL,1985,Shinji Somai,2025-05-01 18:15:00-05:00,2025-05-01,18:15:00
85,YOUNG HEARTS,2024,Anthony Schatteman,2025-05-01 20:15:00-05:00,2025-05-01,20:15:00
86,"JANIN, JENIN",2024,Mohammad Bakri,2025-05-01 20:30:00-05:00,2025-05-01,20:30:00
87,DOC10: 2000 METERS TO ANDRIIVKA,2025,Mstyslav Chernov,2025-05-04 13:30:00-05:00,2025-05-04,13:30:00
88,DOC10: MISTRESS DISPELLER,2024,Elizabeth Lo,2025-05-04 16:00:00-05:00,2025-05-04,16:00:00
89,FORGETTING VIETNAM,2016,Trinh T. Minh-ha,2025-05-06 18:00:00-05:00,2025-05-06,18:00:00
90,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-07 18:00:00-05:00,2025-05-07,18:00:00
91,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-07 20:30:00-05:00,2025-05-07,20:30:00
92,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-08 18:00:00-05:00,2025-05-08,18:00:00
93,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-08 20:15:00-05:00,2025-05-08,20:15:00
94,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-09 18:00:00-05:00,2025-05-09,18:00:00
95,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-09 20:15:00-05:00,2025-05-09,20:15:00
