Title,Year,Director,Showtime
MAGIC FARM,2025,Amalia Ulman,2025-05-06T18:15:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-07T17:45:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-07T20:15:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-08T18:15:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-08T20:30:00-05:00
LILLY,2024,Rachel Feldman,2025-05-09T17:45:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-09T19:45:00-05:00
LILLY,2024,Rachel Feldman,2025-05-10T18:15:00-05:00
LILLY,2024,Rachel Feldman,2025-05-10T11:30:00-05:00
LILLY,2024,Rachel Feldman,2025-05-10T16:15:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-10T20:15:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-10T13:30:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-11T16:30:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-11T14:15:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-11T12:00:00-05:00
LILLY,2024,Rachel Feldman,2025-05-11T16:15:00-05:00
LILLY,2024,Rachel Feldman,2025-05-11T18:45:00-05:00
LILLY,2024,Rachel Feldman,2025-05-11T11:30:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-11T18:15:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-11T13:30:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-12T20:30:00-05:00
LILLY,2024,Rachel Feldman,2025-05-12T18:15:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-12T20:15:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-13T20:30:00-05:00
LILLY,2024,Rachel Feldman,2025-05-13T18:15:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-13T20:15:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-13T17:45:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-14T20:30:00-05:00
LILLY,2024,Rachel Feldman,2025-05-14T18:15:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-14T17:45:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-14T20:15:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-15T20:30:00-05:00
LILLY,2024,Rachel Feldman,2025-05-15T20:00:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-15T17:45:00-05:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-16T16:30:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-16T19:30:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-16T17:15:00-05:00
