Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
LILLY,2024,Rachel Feldman,2025-05-15 20:00:00-05:00,2025-05-15,20:00:00
MAGIC FARM,2025,Amalia Ulman,2025-05-15 20:30:00-05:00,2025-05-15,20:30:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-16 16:30:00-05:00,2025-05-16,16:30:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-16 17:15:00-05:00,2025-05-16,17:15:00
OPENING NIGHT: SLANTED,2025,Amy Wang,2025-05-16 19:00:00-05:00,2025-05-16,19:00:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-16 19:30:00-05:00,2025-05-16,19:30:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-17 12:30:00-05:00,2025-05-17,12:30:00
THIRD ACT,2025,Tadashi Nakamura,2025-05-17 13:00:00-05:00,2025-05-17,13:00:00
APRIL,2025,Dea Kulumbegashvili,2025-05-17 14:45:00-05:00,2025-05-17,14:45:00
"ONE CITY, MANY PERSPECTIVES: AAPI CHICAGO SHORTS",2025,Various directors,2025-05-17 16:00:00-05:00,2025-05-17,16:00:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-17 17:30:00-05:00,2025-05-17,17:30:00
CAN I GET A WITNESS?,2024,Ann Marie Fleming,2025-05-17 19:00:00-05:00,2025-05-17,19:00:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-17 19:45:00-05:00,2025-05-17,19:45:00
YEAR OF THE CAT,2025,Tony Nguyen,2025-05-18 12:00:00-05:00,2025-05-18,12:00:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-18 12:30:00-05:00,2025-05-18,12:30:00
MARINIG AT MAKITA AKO [HEAR & SEE ME]: FILIPINO AMERICAN SHORTS,2025,Various directors,2025-05-18 14:30:00-05:00,2025-05-18,14:30:00
APRIL,2025,Dea Kulumbegashvili,2025-05-18 14:45:00-05:00,2025-05-18,14:45:00
"BEN AND SUZANNE, A REUNION IN 4 PARTS",2024,Shaun Seneviratne,2025-05-18 17:30:00-05:00,2025-05-18,17:30:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-18 17:45:00-05:00,2025-05-18,17:45:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-19 17:45:00-05:00,2025-05-19,17:45:00
FINDING HOME: AAPI SHORTS,2025,Various directors,2025-05-19 18:00:00-05:00,2025-05-19,18:00:00
