Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
Asteroid City,2023,Wes Anderson,/movie/asteroid-city/,Asteroid City,2023,Wes Anderson,0.76,104,"In a fictional American desert town circa 1955, the itinerary of a Junior Stargazer/Space Cadet convention (organized to bring together students and parents from across the country for fellowship and scholarly competition) is spectacularly disrupted by world-changing events.","Wes Anderson, Roman Coppola"
Happening,2021,Audrey Diwan,/movie/happening/,Happening,2022,Audrey Diwan,0.86,100,"France, 1963. Anne is a bright young student with a promising future ahead of her. But when she falls pregnant, she sees the opportunity to finish her studies and escape the constraints of her social background disappearing. With her final exams fast approaching and her belly growing, Anne resolves to act, even if she has to confront sha...","Marcia Romano, Audrey Diwan, Annie Ernaux, Anne Berest, Alice Girard"
Goodfellas,1990,Martin Scorsese,/movie/goodfellas/,Goodfellas,1990,Martin Scorsese,0.92,146,"Based on the bestselling book ""Wiseguy"" by Nicholas Pileggi, Scorsese's film profiles nearly 30 years of mob life in New York City.","Nicholas Pileggi, Martin Scorsese"
All Dirt Roads Taste of Salt,2023,Raven Jackson,/movie/all-dirt-roads-taste-of-salt/,All Dirt Roads Taste of Salt,2023,Raven Jackson,0.87,92,"A decades-spanning exploration of a woman’s life in Mississippi and an ode to the generations of people, places, and ineffable moments that shape us.",Raven Jackson
Morvern Callar,2002,Lynne Ramsay,/movie/morvern-callar/,Morvern Callar,2002,Lynne Ramsay,0.78,97,An aimless supermarket clerk (Morton) in a small Scottish town gets a new lease on life upon discovering her boyfriend dead under their Christmas tree.,"Lynne Ramsay, Liana Dognini, Alan Warner"
The Wonderful Story of Henry Sugar,2023,Wes Anderson,/movie/the-wonderful-story-of-henry-sugar/,The Wonderful Story of Henry Sugar,2023,Wes Anderson,0.85,37,"This short anthology film adapts four of the stories in the Roald Dahl collection ""The Wonderful Story of Henry Sugar and Six More."" The main story follows Henry Sugar, who is able to see through objects and predict the future with the help of a stolen book.","Roald Dahl, Wes Anderson"
Frances Ha,2012,Noah Baumbach,/movie/frances-ha/,Frances Ha,2013,Noah Baumbach,0.82,86,"This small budget, black-and white-collaboration between writer/director Noah Baumbach and writer/star Greta Gerwig centers on Frances (Gerwig), an apprentice dancer fumbling through post-college life in New York City.","Noah Baumbach, Greta Gerwig"
Love Lies Bleeding,2024,Rose Glass,/movie/love-lies-bleeding/,Love Lies Bleeding,2024,Rose Glass,0.77,104,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou’s criminal family.","Rose Glass, Weronika Tofilska"
Monica,2022,Andrea Pallaoro,/movie/monica/,Monica,2023,Andrea Pallaoro,0.75,106,"A woman returns home to care for her ailing mother who she hasn't seen in years in this tender portrait of family, forgiveness, and acceptance.","Andrea Pallaoro, Orlando Tirado"
The Zone of Interest,2023,Jonathan Glazer,/movie/the-zone-of-interest/,The Zone of Interest,2023,Jonathan Glazer,0.92,105,"The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in a house and garden next to the camp.","Jonathan Glazer, Martin Amis"
