Title,Year,Link,Metascore,Summary,Directors,Writers,Release Date,Runtime
Raw,2016,/movie/raw/,0.81,"Everyone in Justine’s family is a vet and a vegetarian. At sixteen she’s a brilliant student starting out at veterinary school where she experiences a decadent, merciless and dangerously seductive world. Desperate to fit in, she strays from her family principles and eats raw meat for the first time. Justine will soon face the terrible an...",Julia Ducournau,Julia Ducournau,2017-03-10,99
Titane,2021,/movie/titane/,0.75,"TITANE: A metal, highly resistant to heat and corrosion, its high tensile strength alloys often used in medical prostheses due to pronounced biocompatibility.",Julia Ducournau,"Julia Ducournau, Jacques Akchoti, Simonetta Greggio, Jean-Christophe Bouzy",2021-10-01,108
The Power of the Dog,2021,/movie/the-power-of-the-dog/,0.89,"Charismatic rancher Phil Burbank (Benedict Cumberbatch) inspires fear and awe in those around him. When his brother (Jesse Plemons) brings home a new wife (Kirsten Dunst) and her son (Kodi Smit-McPhee), Phil torments them until he finds himself exposed to the possibility of love.",Jane Campion,"Jane Campion, Thomas Savage",2021-11-17,125
In the Cut,2003,/movie/in-the-cut/,0.47,"In the underbelly of lower Manhattan, Frannie Avery (Meg Ryan), a reserved English professor, becomes obsessed after seeing more than she should of an impassioned couple. After the young woman turns up dead, Frannie is questioned by a homicide detective (Mark Ruffalo) who draws her into a liberating but disturbing erotic encounter. As th...",Jane Campion,"Jane Campion, Susanna Moore, Stavros Kazantzidis",2003-10-22,119
Sweetie,1989,/movie/sweetie/,0.81,An introspective young woman's life is upturned by the arrival of her maladjusted sister.,Jane Campion,"Gerard Lee, Jane Campion",1989-09-10,97
BlackBerry,2023,/movie/blackberry/,0.78,"The “true story” of the meteoric rise & catastrophic demise of the world’s first smartphone, BlackBerry is a whirlwind ride through a ruthlessly competitive Silicon Valley.",Matt Johnson,"Jacquie McNish, Sean Silcoff, Matt Johnson, Matthew Miller",2023-05-12,119
A Real Pain,2024,/movie/a-real-pain/,0.85,Mismatched cousins David and Benji reunite for a tour through Poland to honor their beloved grandmother. The adventure takes a turn when the pair’s old tensions resurface against the backdrop of their family history.,Jesse Eisenberg,Jesse Eisenberg,2024-11-01,90
The People's Joker,2022,/movie/the-peoples-joker/,0.78,"A painfully unfunny aspiring clown (Vera Drew as Joker the Harlequin) grapples with her gender identity while unsuccessfully attempting to join the ranks of Gotham City’s sole comedy program in a world where comedy has been outlawed. Uniting with a ragtag team of rejects and misfits, Joker the Harlequin forms an illegal anti-comedy troup...",Vera Drew,"Bri LeRose, Vera Drew",2024-04-05,92
Anora,2024,/movie/anora/,0.91,"Anora, a young sex worker from Brooklyn, gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as the parents set out for New York to get the marriage annulled.",Sean Baker,Sean Baker,2024-10-18,139
Thelma,2024,/movie/thelma-2024/,0.77,"When 93-year-old Thelma Post (June Squibb) gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her.",Josh Margolin,Josh Margolin,2024-06-21,97
Hit Man,2023,/movie/hit-man/,0.82,"Inspired by an unbelievable true story, a strait-laced professor discovers his hidden talent as a fake hit man. He meets his match in a client who steals his heart and ignites a powder keg of deception, delight, and mixed-up identities.",Richard Linklater,"Richard Linklater, Glen Powell, Skip Hollandsworth",2024-05-24,115
Hundreds of Beavers,2022,/movie/hundreds-of-beavers/,0.82,"A drunken applejack salesman is thrust into the frigid wilderness. Can he go from Zero to Hero, become North America's greatest fur trapper, and defeat hundreds of beavers?",Mike Cheslik,"Mike Cheslik, Ryland Brickson Cole Tews",2024-01-26,108
Polite Society,2023,/movie/polite-society/,0.75,"A merry mash up of sisterly affection, parental disappointment and bold action, Polite Society follows martial artist-in-training Ria Khan who believes she must save her older sister Lena from her impending marriage. After enlisting the help of her friends, Ria attempts to pull off the most ambitious of all wedding heists in the name of ...",Nida Manzoor,Nida Manzoor,2023-04-28,103
Jackass Forever,2022,/movie/jackass-forever/,0.74,"Celebrating the joy of being back together with your best friends and a perfectly executed shot to the dingdong, the original jackass crew return for another round of hilarious, wildly absurd, and often dangerous displays of comedy with a little help from some exciting new cast. Johnny and the team push the envelope even further in Jacka...",Jeff Tremaine,"Jason 'Wee Man' Acuña, Derrick Beckles, J.P. Blackmon, Sean Cliver, Sean McInerney, Rachel Wolfson, Jeff Tremaine, Trip Taylor",2022-02-04,96
