title,year,link,Josh Larsen,Nick Davis,jamie loftus,Monika Kothari,crhoesing,Adam Kempenaar,Mitra Jouhari,Maia,risesinthewest,ratbathman,Caitlin Durante
The Mighty Ducks,1992,https://letterboxd.com/film/the-mighty-ducks/,,,,,,,,,,,
Harold & Kumar Go to White Castle,2004,https://letterboxd.com/film/harold-kumar-go-to-white-castle/,,,,,,,,,,,
Life as a House,2001,https://letterboxd.com/film/life-as-a-house/,,,,,,,,,,,
Kindergarten Cop,1990,https://letterboxd.com/film/kindergarten-cop/,,2.0,,,,,,,,,
Harry and the Hendersons,1987,https://letterboxd.com/film/harry-and-the-hendersons/,,,,,,,,,,,
Air Bud,1997,https://letterboxd.com/film/air-bud/,,,,,,,,,,,
The Importance of Being Earnest,2002,https://letterboxd.com/film/the-importance-of-being-earnest-2002/,,,,,,,,,,,
Perfume: The Story of a Murderer,2006,https://letterboxd.com/film/perfume-the-story-of-a-murderer/,,,,,,,,,,,
Braveheart,1995,https://letterboxd.com/film/braveheart/,,,,,,,,,,,
Highlander,1986,https://letterboxd.com/film/highlander/,,,,,,,,,,,
Gone in Sixty Seconds,2000,https://letterboxd.com/film/gone-in-sixty-seconds/,,,,,,,,,,,
The Addams Family,1991,https://letterboxd.com/film/the-addams-family/,,3.0,,,,,,,,,
The Santa Clause,1994,https://letterboxd.com/film/the-santa-clause/,,,,,,,,,,,
Father of the Bride,1991,https://letterboxd.com/film/father-of-the-bride-1991/,,,,,,,,,,,
Mortal Kombat,1995,https://letterboxd.com/film/mortal-kombat/,,,,,,,,,,,
Borat Subsequent Moviefilm,2020,https://letterboxd.com/film/borat-subsequent-moviefilm/,2.5,,,,,,,,3.0,,
Grosse Pointe Blank,1997,https://letterboxd.com/film/grosse-pointe-blank/,,,,,,,,,,,
Nobody,2021,https://letterboxd.com/film/nobody-2021/,,,,,,,,,,,
Another Round,2020,https://letterboxd.com/film/another-round/,,,,,,,5.0,5.0,5.0,,
Casino Royale,2006,https://letterboxd.com/film/casino-royale-2006/,4.0,,,,,,,3.5,,,
Horrible Bosses,2011,https://letterboxd.com/film/horrible-bosses/,,,,,,,,,,,
Ghost,1990,https://letterboxd.com/film/ghost/,,,,,,,,,,,
Hellraiser,1987,https://letterboxd.com/film/hellraiser/,2.0,,,,3.5,,,,3.5,4.5,
Interview with the Vampire,1994,https://letterboxd.com/film/interview-with-the-vampire/,,,3.5,,,,,4.5,,,
Back to the Future,1985,https://letterboxd.com/film/back-to-the-future/,,,,,3.0,4.5,,,,,5.0
Promising Young Woman,2020,https://letterboxd.com/film/promising-young-woman/,3.0,,,,,,5.0,,4.0,,
A Knight's Tale,2001,https://letterboxd.com/film/a-knights-tale/,,,,,,,,,,,
Scooby-Doo,2002,https://letterboxd.com/film/scooby-doo/,,,,,,,,,,,
The NeverEnding Story,1984,https://letterboxd.com/film/the-neverending-story/,,,,,,,,,,,
Slumdog Millionaire,2008,https://letterboxd.com/film/slumdog-millionaire/,,,,,,3.0,,,,,
Airplane!,1980,https://letterboxd.com/film/airplane/,,,,,,,,,,,
X-Men: First Class,2011,https://letterboxd.com/film/x-men-first-class/,,,,,,,,,,,
Blade Runner 2049,2017,https://letterboxd.com/film/blade-runner-2049/,4.0,,,,,2.5,,,5.0,,1.0
The Boondock Saints,1999,https://letterboxd.com/film/the-boondock-saints/,,,,,4.0,,,,,,
Kiss Kiss Bang Bang,2005,https://letterboxd.com/film/kiss-kiss-bang-bang-2005/,,,,,,,,,,,
Memories,1995,https://letterboxd.com/film/memories/,,,,,,,,,,,
Sound of Metal,2019,https://letterboxd.com/film/sound-of-metal/,4.0,,,,,4.0,,,,,
The Man from U.N.C.L.E.,2015,https://letterboxd.com/film/the-man-from-uncle/,,,,,,,,,,,
Possessor,2020,https://letterboxd.com/film/possessor/,3.5,,,,,,,,5.0,,
